camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,carplate
1001,https://images.data.gov.sg/api/traffic-images/2023/07/e0b4b5f1-a577-4337-879f-8a29acafc79e.jpg,1.29531332,103.871146,FRC3,74,74,151,151,1.0,False,0,0,0,0,0,0
1002,https://images.data.gov.sg/api/traffic-images/2023/07/b24ecabb-b40d-41be-83c6-8c50cdea4c4a.jpg,1.319541067,103.8785627,FRC0,68,68,40,40,1.0,False,2,0,0,0,0,0
1003,https://images.data.gov.sg/api/traffic-images/2023/07/3f134488-0dd5-46f7-80e6-9a7f5c9b15e3.jpg,1.323957439,103.8728576,FRC0,76,76,43,43,1.0,False,3,1,0,0,0,0
1004,https://images.data.gov.sg/api/traffic-images/2023/07/37c1c715-7854-4e05-8916-21a62991f59b.jpg,1.319535712,103.8750668,FRC0,30,30,118,50,1.0,False,4,0,0,0,0,0
1005,https://images.data.gov.sg/api/traffic-images/2023/07/1a29f274-3357-4776-9805-7c4ae8dc0f1a.jpg,1.363519886,103.905394,FRC0,85,85,159,159,1.0,False,2,0,0,0,0,0
1006,https://images.data.gov.sg/api/traffic-images/2023/07/1e087eb6-d32e-4a2b-8b1e-ecb049856516.jpg,1.357098686,103.902042,FRC0,83,83,193,193,1.0,False,2,0,0,0,0,0
1111,https://images.data.gov.sg/api/traffic-images/2023/07/34b0fe8c-f64e-4469-a818-80e0700008dc.jpg,1.365434,103.953997,FRC0,88,88,196,196,1.0,False,10,2,1,0,0,0
1112,https://images.data.gov.sg/api/traffic-images/2023/07/3db0b58f-b0ee-45ec-984d-8182bdd7faa4.jpg,1.3605,103.961412,FRC4,46,46,1680,1458,0.972334,True,17,6,2,0,0,0
1113,https://images.data.gov.sg/api/traffic-images/2023/07/d16a0046-0d01-4a04-af61-4413d13aca2d.jpg,1.317036,103.988598,FRC2,61,61,1064,1064,1.0,False,0,1,1,0,0,0
1501,https://images.data.gov.sg/api/traffic-images/2023/07/fe6c7d77-303a-48c2-a780-219c77a90bbf.jpg,1.27414394350065,103.851316802547,FRC0,84,84,457,457,1.0,False,0,0,0,0,0,0
1502,https://images.data.gov.sg/api/traffic-images/2023/07/fa3b3bc0-3e80-4a56-a7d1-95aaa9b2326f.jpg,1.27135090682664,103.861828440597,FRC3,58,58,43,43,1.0,False,0,0,1,0,0,0
1503,https://images.data.gov.sg/api/traffic-images/2023/07/ce1ccccc-3191-43ec-82cb-6017539c76d2.jpg,1.27066408655104,103.856977943394,FRC0,85,85,468,468,1.0,False,1,0,0,0,0,0
1504,https://images.data.gov.sg/api/traffic-images/2023/07/008b5068-f2ff-4926-b3a5-000f3e3e9784.jpg,1.29409891409364,103.876056196568,FRC0,78,78,36,36,1.0,False,6,0,0,0,0,0
1505,https://images.data.gov.sg/api/traffic-images/2023/07/c6fd4315-aeff-4ec6-bf06-21eb29acf298.jpg,1.2752977149006,103.866390381759,FRC3,60,60,29,29,1.0,False,0,0,0,0,0,0
1701,https://images.data.gov.sg/api/traffic-images/2023/07/3a1b3adb-dfe2-4a39-a2e6-731b7ce1b989.jpg,1.323604823,103.8587802,FRC0,63,63,465,357,1.0,False,34,2,2,0,1,0
1702,https://images.data.gov.sg/api/traffic-images/2023/07/c7da8b90-f4bd-44fa-b793-4d5d340dcdef.jpg,1.34355015,103.8601984,FRC3,28,28,71,42,1.0,False,18,3,0,0,1,0
1703,https://images.data.gov.sg/api/traffic-images/2023/07/66c3cbb5-53b9-4907-a237-16d4c8ea5883.jpg,1.32814722194857,103.862203282048,FRC0,52,52,316,185,1.0,False,30,8,1,1,0,0
1704,https://images.data.gov.sg/api/traffic-images/2023/07/48d7c06a-f377-4da9-9073-8d1ba6890df2.jpg,1.28569398886979,103.837524510188,FRC3,24,24,322,234,1.0,False,22,0,0,0,1,0
1705,https://images.data.gov.sg/api/traffic-images/2023/07/d193a66e-14fb-407a-baa4-79f06c11c601.jpg,1.375925022,103.8587986,FRC0,92,92,31,31,1.0,False,17,2,1,0,0,0
1706,https://images.data.gov.sg/api/traffic-images/2023/07/c5a05be3-8187-4e6e-b99f-9c3068070d93.jpg,1.38861,103.85806,FRC4,56,56,25,25,1.0,False,21,6,2,0,0,0
1707,https://images.data.gov.sg/api/traffic-images/2023/07/14ebe0b7-7229-4b96-b9e8-f57d3b817bea.jpg,1.28036584335876,103.830451146503,FRC2,14,14,67,42,1.0,False,6,1,0,0,0,0
1709,https://images.data.gov.sg/api/traffic-images/2023/07/ece2b10d-3a26-4dc3-ae1f-13afa3812b77.jpg,1.31384231654635,103.845603032574,FRC2,14,14,107,50,1.0,False,21,2,0,1,0,0
1711,https://images.data.gov.sg/api/traffic-images/2023/07/bed483d5-eda9-41d4-bb87-ae53856fcd22.jpg,1.35296,103.85719,FRC0,52,52,316,185,1.0,False,19,2,1,1,1,0
2701,https://images.data.gov.sg/api/traffic-images/2023/07/3e3d2dc2-837b-4e5f-a113-83517e66f2dd.jpg,1.447023728,103.7716543,FRC1,32,32,185,156,0.942782,False,4,1,0,0,0,0
